"Customize Designs","Customize Designs"
"Add New Design","Add New Design"
"Save Design","Save Design"
"Delete Design","Delete Design"
"Save and Continue Edit","Save and Continue Edit"
"Edit Design '%1'","Edit Design '%1'"
"New Design","New Design"
"Customize Design","Customize Design"
"Design Image","Design Image"
"Enable Options","Enable Options"
No,No
Yes,Yes
X-Position,X-Position
Y-Position,Y-Position
Z-Position,Z-Position
Scale,Scale
Color(s),Color(s)
Price,Price
"Auto Center","Auto Center"
Draggable,Draggable
Rotatable,Rotatable
Resizable,Resizable
"General Information","General Information"
ID,ID
price,price
Delete,Delete
"Are you sure?","Are you sure?"
"Change Image Source","Change Image Source"
"Customize Products","Customize Products"
"Add New Product","Add New Product"
"Save Product","Save Product"
"Delete Product","Delete Product"
"Edit Product '%1'","Edit Product '%1'"
"New Product","New Product"
"Customize Product","Customize Product"
Title,Title
"Select Categories","Select Categories"
"Customize Product Width","Customize Product Width"
"Customize Product Height","Customize Product Height"
"Customize Product Views","Customize Product Views"
"Add New View","Add New View"
"Save View","Save View"
"Delete View","Delete View"
"Edit View '%1'","Edit View '%1'"
"New View","New View"
"View Title","View Title"
"Select Parent Product","Select Parent Product"
"Custom View Image","Custom View Image"
"Custom Image Price","Custom Image Price"
"Custom Text Price","Custom Text Price"
"Disable Image Upload","Disable Image Upload"
"Disable Custom Text","Disable Custom Text"
"Disable Facebook","Disable Facebook"
"Disable Instagram","Disable Instagram"
"Disable Designs","Disable Designs"
"View Image","View Image"
"Product Name","Product Name"
Settings,Settings
"Add New Entry","Add New Entry"
"Save Settings","Save Settings"
"Edit Settings '%1'","Edit Settings '%1'"
"New Settings","New Settings"
"Image Options","Image Options"
"-1 means that the element will be added at the top. Any value higher than that will add the element to that z-position.","-1 means that the element will be added at the top. Any value higher than that will add the element to that z-position."
Colors,Colors
"Enter hex color(s) separated by comma.","Enter hex color(s) separated by comma."
"Enter the additional price for a design element. Use always a dot as decimal separator!","Enter the additional price for a design element. Use always a dot as decimal separator!"
Auto-Center,Auto-Center
Z-Changeable,Z-Changeable
Replace,Replace
"Elements with the same replace name will replace each other.","Elements with the same replace name will replace each other."
Auto-Select,Auto-Select
"Stay On Top","Stay On Top"
"Use another element as bounding box?","Use another element as bounding box?"
"Bounding Box Target","Bounding Box Target"
"Bounding Box X-Position","Bounding Box X-Position"
"Bounding Box Y-Position","Bounding Box Y-Position"
"Bounding Box Width","Bounding Box Width"
"Bounding Box Height","Bounding Box Height"
"Bounding Box Clipping","Bounding Box Clipping"
Filters,Filters
"Custom Image Options","Custom Image Options"
"Minimum Width","Minimum Width"
"The minimum image width for uploaded designs from the customers.","The minimum image width for uploaded designs from the customers."
"Minimum Height","Minimum Height"
"The minimum image height for uploaded designs from the customers.","The minimum image height for uploaded designs from the customers."
"Maximum Width","Maximum Width"
"The maximum image width for uploaded designs from the customers.","The maximum image width for uploaded designs from the customers."
"Maximum Height","Maximum Height"
"The maximum image height for uploaded designs from the customers.","The maximum image height for uploaded designs from the customers."
"Resize To Width","Resize To Width"
"Resize the uploaded image to this width, when width is larger than height.","Resize the uploaded image to this width, when width is larger than height."
"Resize To Height","Resize To Height"
"Resize the uploaded image to this height, when height is larger than width.","Resize the uploaded image to this height, when height is larger than width."
"Custom Text Options","Custom Text Options"
"The x-position of the custom text element.","The x-position of the custom text element."
"The y-position of the custom text element.","The y-position of the custom text element."
"Enter the additional price for a text element. Always use a dot as decimal separator!","Enter the additional price for a text element. Always use a dot as decimal separator!"
Patternable,Patternable
"Let the customer choose a pattern?","Let the customer choose a pattern?"
Curvable,Curvable
"Let the customer make the text curved?","Let the customer make the text curved?"
"Curve Spacing","Curve Spacing"
"Curve Radius","Curve Radius"
"Curve Reverse","Curve Reverse"
"Enter the title of another element that should be used as bounding box for design elements.","Enter the title of another element that should be used as bounding box for design elements."
"Default Text Size","Default Text Size"
"The default text size for all text elements.","The default text size for all text elements."
"Default Font","Default Font"
"Enter the default font. If you leave it empty, the first font from the fonts dropdown will be used.","Enter the default font. If you leave it empty, the first font from the fonts dropdown will be used."
"Maximum Characters","Maximum Characters"
"You can limit the number of characters. 0 means unlimited characters.","You can limit the number of characters. 0 means unlimited characters."
Alignment,Alignment
"Common Options","Common Options"
"Origin-X Point","Origin-X Point"
"Origin-Y Point","Origin-Y Point"
"Default Element Settings","Default Element Settings"
"Fonts Settings","Fonts Settings"
"Common Fonts","Common Fonts"
"Enter here common fonts separated by comma, which are installed on all system by default, e.g. Arial.","Enter here common fonts separated by comma, which are installed on all system by default, e.g. Arial."
"Google Webfonts","Google Webfonts"
"Choose fonts from Google Webfonts. Using more than 3 fonts will cause your site to load more slowly.","Choose fonts from Google Webfonts. Using more than 3 fonts will cause your site to load more slowly."
"Fonts Directory","Fonts Directory"
"You can add your own fonts to the fonts directory of the plugin, these font files need to be .woff files.","You can add your own fonts to the fonts directory of the plugin, these font files need to be .woff files."
Fonts,Fonts
"Layout & Skin","Layout & Skin"
"Product Designer Width","Product Designer Width"
"Product Designer Height","Product Designer Height"
"Product Designer Frame Shadow","Product Designer Frame Shadow"
"Dialog Box Positioning","Dialog Box Positioning"
"View Selection Positioning","View Selection Positioning"
"Product Designer Margin Top","Product Designer Margin Top"
"Product Designer Margin Right","Product Designer Margin Right"
"Product Designer Margin Bottom","Product Designer Margin Bottom"
"Product Designer Margin Left","Product Designer Margin Left"
"Display product is customizable","Display product is customizable"
"Designer Primary Color","Designer Primary Color"
"Designer Secondary Color","Designer Secondary Color"
"Designer Text Primary Color","Designer Text Primary Color"
"Designer Text Secondary Color","Designer Text Secondary Color"
"Element Selected Color","Element Selected Color"
"Bounding Box Color","Bounding Box Color"
"Out of Bounding Box Color","Out of Bounding Box Color"
"User Interface","User Interface"
"Custom Image Upload","Custom Image Upload"
"Let customers upload their own images to products?","Let customers upload their own images to products?"
"Facebook Upload","Facebook Upload"
"Let customers upload image from facebook?","Let customers upload image from facebook?"
"Instagram Upload","Instagram Upload"
"Let customers upload image from instagram?","Let customers upload image from instagram?"
"Custom Text","Custom Text"
"Let customers add their own text elements to products?","Let customers add their own text elements to products?"
"Download Product Image","Download Product Image"
"Let customers download a product image?","Let customers download a product image?"
"Save as PDF","Save as PDF"
"Let customers save the product as PDF?","Let customers save the product as PDF?"
Print,Print
"Let customers print the product?","Let customers print the product?"
"Allow Product Saving","Allow Product Saving"
"Let customers save their customized products?","Let customers save their customized products?"
Tooltips,Tooltips
"Use tooltips in the product designer?","Use tooltips in the product designer?"
Miscellaneous,Miscellaneous
"Maximum Image Size (MB)","Maximum Image Size (MB)"
"The maximum image size in Megabytes, when using the PHP uploader.","The maximum image size in Megabytes, when using the PHP uploader."
"Minimum Allowed DPI","Minimum Allowed DPI"
"The minimum allowed DPI, when using the PHP uploader.","The minimum allowed DPI, when using the PHP uploader."
"Facebook App-ID","Facebook App-ID"
"To allow users to add photos from facebook, you have to enter a Facebook App-Id.","To allow users to add photos from facebook, you have to enter a Facebook App-Id."
"Instagram Client ID","Instagram Client ID"
"To allow users to add photos from instagram, you have to enter a Instagram Client ID.","To allow users to add photos from instagram, you have to enter a Instagram Client ID."
"Google Api key","Google Api key"
"To fetch all the fonts from google.","To fetch all the fonts from google."
"Zoom Factor","Zoom Factor"
"The step for zooming in and out.","The step for zooming in and out."
"Maximum Zoom","Maximum Zoom"
"The maximum zoom when zooming in. Set it to ""1"" to disable the zoom feature.","The maximum zoom when zooming in. Set it to ""1"" to disable the zoom feature."
"Padding Controls","Padding Controls"
"The padding of the controls when an element is selected in the product stage.","The padding of the controls when an element is selected in the product stage."
"Replace Initial Elements","Replace Initial Elements"
"When a product designer contains multiple Customize Products and the customer adds custom elements to it and chooses another Customize Product, only the initial elements will be replaced.","When a product designer contains multiple Customize Products and the customer adds custom elements to it and chooses another Customize Product, only the initial elements will be replaced."
"Open in lightbox","Open in lightbox"
General,General
"Default Element Options","Default Element Options"
id,id
"Add New Description","Add New Description"
"Product Categories","Product Categories"
"Add New Category","Add New Category"
"Save Category","Save Category"
"Delete Category","Delete Category"
"Edit Category '%1'","Edit Category '%1'"
"New Category","New Category"
"Product Category","Product Category"
"Product category","Product category"
"Delete successfully !","Delete successfully !"
"This row no longer exists.","This row no longer exists."
"Please select product(s).","Please select product(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The Design Has been Saved.","The Design Has been Saved."
"Something went wrong while saving the design.","Something went wrong while saving the design."
"The Product view has been Saved.","The Product view has been Saved."
"Something went wrong while saving the view.","Something went wrong while saving the view."
"The customize product has been saved.","The customize product has been saved."
"Something went wrong while saving the banner.","Something went wrong while saving the banner."
Customsettings,Customsettings
"The Settings Has been Saved.","The Settings Has been Saved."
"Something went wrong while saving the settings.","Something went wrong while saving the settings."
"Invalid form key. Please refresh the page and try again!","Invalid form key. Please refresh the page and try again!"
"An error occurred during the process.","An error occurred during the process."
"This file is not an image!","This file is not an image!"
"An error occurred during the image upload process.","An error occurred during the image upload process."
"The Category Has been Saved.","The Category Has been Saved."
"You have successfully deleted the customization.","You have successfully deleted the customization."
"We can\'t remove the customization item.","We can\'t remove the customization item."
"The uploaded file exceeds the upload_max_filesize directive in php.ini","The uploaded file exceeds the upload_max_filesize directive in php.ini"
